LABEL,en-US,fr-CA
pleasehold,Please hold while we transfer you to a representative. ,"<prosody rate=""95%"">
Veuillez patienter, pendant que, nous vous transférons à un représentant. 
</prosody>"
monitor,"Please note, your call may be monitored or recorded for quality assurance and training purposes.","<prosody rate=""95%""> 
Veuillez noter, que votre appel peut être surveillé, ou enregistré, à des fins d'assurance qualité, et de formation. </prosody>"
noagents,"Sorry, due to unforeseen circumstances, our agents are unable to take calls at this time.  Please call us back or visit our web page. ","<prosody rate=""95%"">
Désolé. en raison de circonstances imprévues, nos agents ne sont pas en mesure de prendre des appels pour le moment. 
<break time=""0.50s""/>Veuillez nous rappeler, ou visiter notre page web. </prosody>"
repeat,"To repeat this message, press star.","<prosody rate=""90%"">
Pour répéter ce message, appuyez sur, l‘étoile. 
</prosody>"
voicemail,If you'd like to leave a voicemail message press 1.,"<prosody rate=""90%"">
Si vous, souhaitez laisser un message vocal, veuillez appuyer sur, le 1. <break time=""0.50s""/> Merci, et bonne journée. 
</prosody>"
busy,All of our representatives are currently assisting other callers.  Please hold for the next available representative.,"<prosody rate=""95%"">
Tous nos représentants, sont en train, d’aider d’autres appelants. 
<break time=""0.50s""/>Veuillez patienter, jusqu’au prochain représentant disponible.
</prosody>"
hold,Your call is important to us. All of our representatives are still assisting other callers; please hold for the next available representative.,"<prosody rate=""95%"">
Votre appel est important, pour nous. 
<break time=""0.50s""/> Tous nos représentants, sont en train, d’aider d’autres appelants. 
<break time=""0.50s""/> veuillez patienter, jusqu’au prochain représentant disponible.
</prosody>"
difficulties,"Sorry, we’re experiencing technical difficulties and cannot take your call at this time.","Désolé, en raison de circonstances imprévues, nos agents ne sont pas en mesure de prendre des appels pour le moment.Veuillez nous rappeler ou visiter notre page web à ontario.ca/rafeo Si vous souhaitez laisser un message vocal, veuillez appuyer sur 1Merci et bonne journée.Pour répéter ce message, appuyez sur l‘étoile."
InvalidInput1,That was an invalid entry.  Please try again,"<prosody rate=""95%"">
<break time=""0.50s""/>Cette sélection, n’est pas valide. 
<break time=""0.50s""/>Veuillez essayer de nouveau. 
</prosody>"
InvalidInput2,"Sorry, that is still an invalid choice. Please try again","<prosody rate=""95%"">
Désolé, ce n'est pas, un choix valide. 
<break time=""0.50s""/>S'il vous plaît, essayez de nouveau.
</prosody>"
NoInput1,We did not receive your entry. Please try again.,"<prosody rate=""95%"">
Nous n’avons pas, reçu votre sélection. 
<break time=""0.50s""/>Veuillez essayer, de nouveau.
</prosody>"
NoInput2,We still did not receive your entry.  Please try again.,"<prosody rate=""95%"">
Nous n’avons, toujours pas reçu, votre sélection. 
<break time=""0.50s""/>Veuillez essayer, de nouveau. 
</prosody>"
MaxInputXfer,Sorry you're still having difficulty.,"<prosody rate=""95%"">
Désolé, que vous avez toujours des difficultés 
</prosody>"
